Ключевые навыки;Кол-во
Cmake;1
CMS Wordpress;1
Cognito;1
Cognos;1
Cognos BI;1
Coil Tubing;1
Computer troubleshooting;1
Conversational systems;1
CorelDRAW;1
CTU;1
Customer Needs Analysis;1
CV;1
Cyber Security;1
Cypress;1
Data architecture;1
data base;1
Data Centre;1
Data Mining: SPSS;1
DB;1
Debian;1
Defense;1
Desktop;1
device pick;1
Digital Transmission Networks;1
DPDK;1
DRBD;1
Driving Licence B;1
Drupal;1
Due Diligence;1
DVC;1
DynamoDB;1
eBGP;1
EC2;1
Eclipse;1
EKS;1
Electrical;1
ElectronJS;1
Elixir;1
ELK;1
Embedded;1
Engineer;1
Erlang;1
ERP;1
ERP Systems;1
erWin;1
Experience with MS Visual Studio or any IDE in Linux;1
Facebook Ads;1
FBF/PBR;1
FDD;1
Feature Engineering;1
Financial Due Diligence;1
Flash MySQL;1
Flume;1
FMEA;1
FP;1
FreeBSD;1
Front-end;1
FTA;1
full stack;1
fullstack;1
functional programming;1
Functional Safety;1
fuzzing;1
Game Programming;1
Gamer;1
Gaming;1
Gatsby;1
Google AdWords;1
Google Data Studio;1
Google Dev Tools;1
GraphQL;1
GRE;1
greenplum;1
Grunt;1
GSD;1
GUI/QT;1
Gulp;1
Hamcrest Matchers;1
HAZOP;1
Helm;1
HFT;1
High-Load;1
Highload systems;1
Hive, Yarn, Spark, MapReduce, СУБД;1
Hr Policies;1
Huawei;1
Human Resources Development;1
Hypersonic Sql;1
Hyper-V;1
iBGP;1
IBM MDM;1
iCloud;1
ICT;1
IDEF0;1
IEC 61508;1
Ignite;1
influx db;1
Intel Daal;1
Intel MKL;1
Internet Marketing;1
IPIP;1
IPMA;1
IPMI;1
IPSec;1
Iron Python;1
ISO 26262;1
ITAM;1
ITSM;1
JDBC;1
Jest;1
JMS;1
JOOQ;1
Juniper;1
Jupyter;1
knowledge of data structures, algorithms, computer architecture;1
Koa.js;1
KVM;1
Lambda;1
Large Data Set;1
Lean;1
Less;1
Libvirt;1
Linstor;1
